epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.37204,1.89695,2.3934,1.42796,0.03985,0.36704,0.15042,0.06758,2.01517,2.7444,1.93207,0.0874,0.0014,0.0014
2,9.73603,1.32973,1.16583,1.11796,0.1652,0.22393,0.07376,0.03739,1.92676,3.09366,1.95767,0.0738713,0.00287129,0.00287129
3,12.2461,1.29325,1.07308,1.11912,0.01407,0.12957,0.00795,0.00275,2.47111,inf,6.0861,0.0603129,0.00431288,0.00431288
4,14.6354,1.20274,0.98695,1.08719,0.36674,0.26095,0.18413,0.09816,1.71212,2.89262,1.96314,0.0467248,0.00572477,0.00572477
5,16.9599,1.17865,0.95501,1.07754,0.10985,0.45237,0.08539,0.04954,1.43828,7.60977,1.76203,0.033107,0.00710696,0.00710696
6,19.3176,1.11157,0.88348,1.0507,0.32652,0.38691,0.20885,0.12019,1.51607,3.20006,2.13221,0.0194595,0.00845945,0.00845945
7,21.6864,1.17602,0.91207,1.07197,0.43432,0.44289,0.39887,0.27025,1.17709,2.19403,1.15573,0.009406,0.009406,0.009406
8,23.9831,1.12314,0.88401,1.05017,0.71392,0.67826,0.69431,0.47236,1.06474,1.1914,1.08818,0.009307,0.009307,0.009307
9,26.2789,1.07531,0.85407,1.03386,0.59247,0.69442,0.64793,0.44461,1.05123,1.24091,1.0699,0.009208,0.009208,0.009208
10,29.4957,1.00785,0.81874,1.01692,0.77609,0.809,0.78149,0.55782,0.96683,0.97583,1.0641,0.009109,0.009109,0.009109
11,31.8806,0.99934,0.81167,0.99335,0.8226,0.84153,0.814,0.57847,0.971,0.85953,1.04379,0.00901,0.00901,0.00901
12,34.217,0.96182,0.77852,0.99336,0.79714,0.82302,0.81178,0.57952,0.93845,0.88663,1.03214,0.008911,0.008911,0.008911
13,36.4469,0.94045,0.7718,0.98765,0.85322,0.83747,0.83339,0.62284,0.90426,0.87898,1.01455,0.008812,0.008812,0.008812
