epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.30441,1.19624,1.97878,1.10902,0.82887,0.42689,0.67275,0.47262,1.07648,1.95191,1.17005,0.0829,0.0019,0.0019
2,7.29381,0.77777,0.85178,0.96853,0.00045,0.01415,0.00028,4e-05,4.52626,inf,16.1558,0.0648998,0.00389976,0.00389976
3,9.97789,0.7585,0.80201,0.95722,0.01239,0.36439,0.0085,0.00199,3.21141,inf,4.24866,0.0468986,0.00589856,0.00589856
4,12.6342,0.76283,0.79262,0.96109,0.26626,0.38728,0.23436,0.09227,2.37756,3.00538,3.29615,0.0288957,0.00789566,0.00789566
5,15.2963,0.76057,0.76584,0.96549,0.62267,0.70835,0.69116,0.49279,1.0371,1.4943,1.08366,0.0108903,0.00989033,0.00989033
6,17.9649,0.76275,0.7458,0.97238,0.40118,0.48231,0.39791,0.23857,1.46633,1.86452,1.297,0.00998474,0.00998474,0.00998474
7,20.6185,0.71996,0.68827,0.94336,0.81116,0.86321,0.83774,0.64802,0.85653,0.83733,1.08275,0.00997803,0.00997803,0.00997803
8,23.2804,0.68807,0.69028,0.93646,0.80425,0.84786,0.81404,0.60441,0.79138,0.9336,1.15185,0.00997011,0.00997011,0.00997011
9,25.9026,0.64169,0.64354,0.93116,0.90196,0.90684,0.87241,0.74309,0.63751,0.63987,1.20261,0.00996097,0.00996097,0.00996097
10,28.5792,0.60048,0.60325,0.9143,0.88367,0.90476,0.87095,0.73812,0.61956,0.64443,0.92064,0.00995062,0.00995062,0.00995062
11,31.8101,0.58369,0.57167,0.91041,0.90412,0.90802,0.8801,0.74555,0.6135,0.63573,0.91518,0.00993906,0.00993906,0.00993906
12,34.4402,0.59921,0.59859,0.9112,0.92618,0.91627,0.90064,0.76284,0.63594,0.54676,0.90946,0.00992629,0.00992629,0.00992629
13,37.1062,0.61647,0.60827,0.91568,0.91185,0.90684,0.87611,0.78111,0.54541,0.56631,0.92916,0.00991232,0.00991232,0.00991232
14,39.7961,0.61738,0.59652,0.91974,0.91728,0.90231,0.89101,0.7679,0.58231,0.57848,0.91437,0.00989715,0.00989715,0.00989715
15,42.4557,0.60188,0.60139,0.92071,0.92987,0.92254,0.88848,0.77114,0.54932,0.53128,0.89386,0.00988079,0.00988079,0.00988079
